Date,Open,High,Low,Close,Adj Close,Volume
2019-08-13,84.000000,84.349998,72.849998,73.599998,73.599998,13322112
2019-08-14,74.400002,77.849998,70.500000,76.550003,76.550003,11539093
2019-08-16,79.500000,81.550003,76.900002,79.449997,79.449997,10650870
2019-08-19,79.449997,80.699997,76.050003,76.699997,76.699997,8322912
2019-08-20,76.800003,77.000000,70.550003,71.250000,71.250000,10451647
2019-08-21,71.199997,71.550003,64.500000,65.400002,65.400002,15593004
2019-08-22,65.599998,67.699997,53.150002,56.299999,56.299999,20382103
2019-08-23,56.299999,61.250000,54.700001,59.250000,59.250000,24065313
2019-08-26,63.000000,64.650002,57.299999,63.000000,63.000000,18525203
2019-08-27,62.849998,65.300003,62.549999,64.300003,64.300003,13772317
2019-08-28,65.000000,65.199997,58.049999,59.500000,59.500000,14885233
2019-08-29,59.000000,59.299999,55.000000,57.349998,57.349998,19171338
2019-08-30,58.000000,60.900002,55.549999,59.500000,59.500000,19148813
2019-09-03,59.500000,62.250000,57.650002,58.799999,58.799999,12946414
2019-09-04,58.000000,60.200001,57.299999,59.450001,59.450001,9047280
2019-09-05,59.599998,62.349998,58.900002,61.900002,61.900002,11292970
2019-09-06,61.400002,62.150002,59.549999,60.400002,60.400002,9421393
2019-09-09,60.400002,64.000000,59.849998,63.099998,63.099998,12133031
2019-09-11,66.150002,72.550003,65.400002,71.599998,71.599998,21005663
2019-09-12,72.099998,72.099998,67.199997,67.949997,67.949997,14015398
2019-09-13,67.150002,69.500000,64.099998,68.599998,68.599998,20290505
2019-09-16,67.900002,68.250000,66.000000,67.099998,67.099998,8356106
2019-09-17,67.050003,68.849998,64.699997,65.150002,65.150002,8940809
2019-09-18,65.300003,66.900002,61.700001,64.099998,64.099998,11090894
2019-09-19,64.599998,64.900002,53.049999,54.150002,54.150002,19972521
2019-09-20,54.000000,59.900002,52.650002,55.450001,55.450001,25991547
2019-09-23,57.799999,57.799999,52.950001,55.349998,55.349998,21377058
2019-09-24,55.299999,57.650002,53.500000,56.049999,56.049999,12342336
2019-09-25,56.000000,56.799999,53.099998,53.700001,53.700001,11970640
2019-09-26,54.500000,54.500000,50.599998,51.049999,51.049999,15543537
2019-09-27,50.000000,52.849998,48.400002,48.799999,48.799999,24055147
2019-09-30,48.400002,49.099998,40.950001,41.450001,41.450001,33140827
2019-10-01,42.000000,44.299999,29.049999,32.000000,32.000000,56077384
